FIPS,County,State,Insurance Coverage,Medicaid Enrollment,Household Income,Annual Labor Force Participation Rate,Annual Unemployment Rate,Below Poverty,Received Public Assistance,Monthly Unemployment Rate (Jun),Uninsured
16001,Ada County,Idaho,0.9301212958697989,0.12619683709504068,83881.0,0.6638032235148302,0.03221986929890475,0.05631081797955645,0.07071406465555678,0.027000000000000003,0.06987870413020114
16003,Adams County,Idaho,0.8754504504504504,0.10022522522522523,55891.0,0.5074270557029178,0.0872974385781495,0.10267857142857142,0.02133965619442798,0.045,0.12454954954954955
16005,Bannock County,Idaho,0.9214605101591641,0.22026967541644463,60998.0,0.6149852071005917,0.050730041132465785,0.07992411344067714,0.14863625244618395,0.03,0.07853948984083592
16007,Bear Lake County,Idaho,0.9405396925007844,0.18120489488547223,63244.0,0.5742534301856336,0.04321855235418131,0.06757557794902193,0.07576409814894533,0.027999999999999997,0.0594603074992156
16009,Benewah County,Idaho,0.8607818673320857,0.20752755250571844,54191.0,0.5019617769902543,0.038073625819465454,0.09932991722506898,0.12336644014636697,0.04,0.13921813266791427
16011,Bingham County,Idaho,0.9018212267113251,0.21812853255181075,69433.0,0.6458619433311846,0.061141245389455416,0.06407766990291262,0.11358546106098419,0.028999999999999998,0.09817877328867486
16013,Blaine County,Idaho,0.8773264951608901,0.13073868806352884,81794.0,0.7003416055460665,0.023384262248045334,0.040177107248278124,0.04925790492579049,0.025,0.12267350483910988
16015,Boise County,Idaho,0.8658850811646482,0.1332130894099459,70776.0,0.5180186860447872,0.033781849413111936,0.05492589363557106,0.06625441696113074,0.037000000000000005,0.13411491883535176
16017,Bonner County,Idaho,0.901536327525693,0.19993274626426516,61816.0,0.5208506145841189,0.03522995994401815,0.08531202435312024,0.08201581027667984,0.035,0.09846367247430698
16019,Bonneville County,Idaho,0.9107473598700244,0.21497969130787978,73103.0,0.6471741980981345,0.046277220642568916,0.06430868167202572,0.10619782085750672,0.025,0.08925264012997558
16021,Boundary County,Idaho,0.8798357289527721,0.2487063655030801,58810.0,0.5108795586883236,0.03819236152769446,0.16840171463563994,0.1159235668789809,0.036000000000000004,0.12016427104722793
16023,Butte County,Idaho,0.9247856586126266,0.22369446609508964,37358.0,0.525,0.0196078431372549,0.2238562091503268,0.134765625,0.043,0.07521434138737337
16025,Camas County,Idaho,0.8940864960282436,0.22506619593998234,63750.0,0.6230677764565993,0.04961832061068702,0.023923444976076555,0.0030959752321981426,0.024,0.10591350397175636
16027,Canyon County,Idaho,0.8798849268788346,0.21781575438491188,68473.0,0.6336542198739361,0.035362514667709705,0.07215159674176068,0.11783814970901063,0.034,0.12011507312116543
16029,Caribou County,Idaho,0.9037909247558874,0.1424468696151637,65380.0,0.6382900313248572,0.028290993071593534,0.055524079320113315,0.09339137316976652,0.03,0.0962090752441126
16031,Cassia County,Idaho,0.8882857142857142,0.2206122448979592,63525.0,0.6538652540970038,0.029535864978902954,0.07230843065109582,0.10476772616136919,0.026000000000000002,0.11171428571428577
16033,Clark County,Idaho,0.7636122177954847,0.21115537848605578,53500.0,0.652931854199683,0.019417475728155338,0.03355704697986577,0.01937984496124031,0.02,0.23638778220451528
16035,Clearwater County,Idaho,0.866625,0.16975,55885.0,0.4561036242313228,0.04417670682730924,0.0691415313225058,0.08031899743662774,0.045,0.13337500000000002
16037,Custer County,Idaho,0.8608474183838851,0.1667052558462607,60357.0,0.49665686012302757,0.01669359181475498,0.06462303231151616,0.056969026548672565,0.03,0.13915258161611488
16039,Elmore County,Idaho,0.8764438779574604,0.19079104596510793,55000.0,0.5644676475241259,0.06446188340807175,0.09167280766396463,0.11672862453531599,0.033,0.12355612204253963
16041,Franklin County,Idaho,0.8900370034210711,0.1702855547022272,61679.0,0.626284735439665,0.011396444309375475,0.06541019955654102,0.08882705479452055,0.024,0.10996299657892894
16043,Fremont County,Idaho,0.8660015349194168,0.22333077513430544,67015.0,0.5675170544808896,0.04528239749711839,0.09381413075344473,0.09166666666666666,0.023,0.13399846508058322
16045,Gem County,Idaho,0.879297655346441,0.20439491115550415,65204.0,0.5733160621761658,0.027564392227745142,0.06928450066075137,0.108532518065592,0.036000000000000004,0.120702344653559
16047,Gooding County,Idaho,0.8087215706602734,0.1930927233849543,60938.0,0.6283641272251751,0.03544575725026853,0.09517353579175705,0.09661924995381489,0.026000000000000002,0.1912784293397266
16049,Idaho County,Idaho,0.8368200836820083,0.15105833128230373,54745.0,0.49560835133189346,0.04285299244625218,0.07791922739244951,0.0669392700287748,0.036000000000000004,0.16317991631799167
16051,Jefferson County,Idaho,0.9040697674418605,0.2060120112445694,77491.0,0.6642355483522421,0.023993493289955266,0.06652806652806653,0.06016834666943781,0.025,0.09593023255813948
16053,Jerome County,Idaho,0.8560677715178682,0.2624501377637044,67347.0,0.6603616133518776,0.03513058129738837,0.1252408477842004,0.1046712802768166,0.027999999999999997,0.14393222848213183
16055,Kootenai County,Idaho,0.8997352727272727,0.16324654545454545,71949.0,0.60692093963122,0.03117791148422079,0.06141415016680386,0.08889286886958599,0.03,0.10026472727272728
16057,Latah County,Idaho,0.9300746946603412,0.10575855455738367,62258.0,0.6128015844436442,0.05273982664903776,0.07357008518641443,0.0637830372276979,0.028999999999999998,0.0699253053396588
16059,Lemhi County,Idaho,0.9307906036878,0.24033846931043193,49216.0,0.5219828858070227,0.03137365743357829,0.0890302066772655,0.12049278846153846,0.033,0.06920939631220002
16061,Lewis County,Idaho,0.8953649736330835,0.2311962253677491,46484.0,0.47713991062220695,0.04178674351585014,0.13453389830508475,0.11813537675606642,0.035,0.10463502636691646
16063,Lincoln County,Idaho,0.8293063133281372,0.2616913484021824,62250.0,0.6714819427148194,0.05637982195845697,0.0812452543659833,0.09100758396533044,0.031000000000000003,0.1706936866718628
16065,Madison County,Idaho,0.9386736528091176,0.19394194362641987,53025.0,0.6725661669442902,0.08149014481785972,0.14350319876461504,0.1320644461140329,0.023,0.06132634719088237
16067,Minidoka County,Idaho,0.8512799109627156,0.2474958263772955,63594.0,0.6463467626792476,0.033326930464848255,0.1166298749080206,0.13286058335563286,0.026000000000000002,0.1487200890372844
16069,Nez Perce County,Idaho,0.898791394730481,0.18801063572637178,65023.0,0.6019106407995297,0.03247546027250085,0.0952515015015015,0.1070427470217239,0.026000000000000002,0.10120860526951903
16071,Oneida County,Idaho,0.9294559929234851,0.16342326404245908,67383.0,0.6201729106628242,0.006505576208178439,0.13290113452188007,0.10157523085279739,0.024,0.07054400707651487
16073,Owyhee County,Idaho,0.7947620246789222,0.2464534542096869,58440.0,0.5828614168180362,0.022181484876260312,0.08221421552571241,0.1376863023420866,0.033,0.2052379753210778
16075,Payette County,Idaho,0.9061858923780969,0.25244595234338013,62721.0,0.5748814440875019,0.04372893383005145,0.08189457601222307,0.15750641573994867,0.039,0.09381410762190312
16077,Power County,Idaho,0.8547585679704421,0.3008026500191107,56671.0,0.6805507145346811,0.07477592829705505,0.07870619946091645,0.09247472856608012,0.031000000000000003,0.14524143202955786
16079,Shoshone County,Idaho,0.8633709909773296,0.28265979225111837,44807.0,0.5406522737712448,0.05046728971962617,0.10647677178704645,0.15553121577217963,0.042,0.1366290090226704
16081,Teton County,Idaho,0.8483360149038869,0.15496655093572698,88906.0,0.742902711323764,0.0160297695720624,0.07396664249456128,0.03173500115821172,0.018000000000000002,0.15166398509611312
16083,Twin Falls County,Idaho,0.893605864173426,0.21475192181102098,61183.0,0.6321305866832896,0.03093681917211329,0.09148770349844129,0.11459832134292566,0.031000000000000003,0.10639413582657398
16085,Valley County,Idaho,0.8766643905769888,0.12265278251963127,72878.0,0.5024057738572574,0.015163607342378291,0.058256172839506175,0.03704676826064109,0.028999999999999998,0.12333560942301125
16087,Washington County,Idaho,0.8764852433882714,0.20189727865082407,50046.0,0.4936888050017695,0.044683393070489845,0.15370962016329429,0.13565049481052377,0.042,0.12351475661172862
30001,Beaverhead County,Montana,0.9345039319185608,0.20316707960788538,55867.0,0.5819188191881919,0.027689706193193827,0.07322357019064125,0.0886291697102508,0.024,0.06549606808143915
30003,Big Horn County,Montana,0.8130451563103049,0.416981860285604,52463.0,0.5961086166345948,0.14992826398852224,0.19002375296912113,0.12617338487023744,0.045,0.18695484368969506
30005,Blaine County,Montana,0.8257728980063566,0.38514880092458825,58507.0,0.6001945525291829,0.13160453808752026,0.15584415584415584,0.16776750330250992,0.035,0.17422710199364344
30007,Broadwater County,Montana,0.9189306358381503,0.1601156069364162,61679.0,0.5881554386560326,0.08193883439122908,0.04871794871794872,0.07311977715877438,0.031000000000000003,0.08106936416184973
30009,Carbon County,Montana,0.9284968189155826,0.2013104168644953,66780.0,0.6100978647686833,0.04939846882974845,0.07333333333333333,0.09247311827956989,0.026000000000000002,0.07150318108441744
30011,Carter County,Montana,0.8644716692189893,0.23124042879019907,46486.0,0.6024844720496895,0.023564064801178203,0.10909090909090909,0.08193979933110368,0.02,0.13552833078101068
30013,Cascade County,Montana,0.9314261569816573,0.2440721777601034,61351.0,0.6113220946029394,0.032551327053713476,0.08078468447175609,0.11527894264973826,0.027000000000000003,0.06857384301834268
30015,Chouteau County,Montana,0.9422878735829612,0.3404328409481278,51791.0,0.5551556214270591,0.05186880244088482,0.11870773854244929,0.12866300366300365,0.03,0.05771212641703882
30017,Custer County,Montana,0.9257366717765287,0.22636688809402147,61114.0,0.6517352703793382,0.033281733746130034,0.07443682664054849,0.10288230584467574,0.027000000000000003,0.07426332822347126
30019,Daniels County,Montana,0.9576158940397351,0.13245033112582782,47378.0,0.6071700991609459,0.01507537688442211,0.11936339522546419,0.025210084033613446,0.018000000000000002,0.04238410596026487
30021,Dawson County,Montana,0.9603110131136127,0.13682256005570384,68168.0,0.6342068965517241,0.03001304915180513,0.0338628762541806,0.059416445623342175,0.028999999999999998,0.039688986886387334
30023,Deer Lodge County,Montana,0.9283102493074792,0.3216620498614958,46436.0,0.5164147378365612,0.03796021038188886,0.16130453944468928,0.21079335793357934,0.026000000000000002,0.07168975069252082
30025,Fallon County,Montana,0.9350331819769473,0.2287809989521481,79750.0,0.6437923250564334,0.0,0.09358288770053476,0.019759450171821305,0.016,0.06496681802305271
30027,Fergus County,Montana,0.8590508414210667,0.20389991986466033,58321.0,0.6071165385830087,0.030518467140627708,0.07368764264753831,0.09969147705360586,0.025,0.1409491585789333
30029,Flathead County,Montana,0.9118287752675387,0.208,68025.0,0.6255428644614435,0.03171648736179876,0.056567419202384846,0.08238838544384874,0.03,0.0881712247324613
30031,Gallatin County,Montana,0.9259495369749027,0.13315326801771574,83434.0,0.7103998064964776,0.020670184996027692,0.03795501627700503,0.04497221874086143,0.02,0.07405046302509732
30033,Garfield County,Montana,0.84472049689441,0.15320910973084886,61786.0,0.7006535947712418,0.0,0.08,0.03640776699029126,0.027000000000000003,0.15527950310559002
30035,Glacier County,Montana,0.7003069277988893,0.3999561531715873,41078.0,0.5325437898089171,0.07942440665296206,0.24155104944859482,0.22131736526946108,0.054000000000000006,0.29969307220111074
30037,Golden Valley County,Montana,0.8703923900118906,0.21997621878715815,54792.0,0.5310344827586206,0.012987012987012988,0.08374384236453201,0.05070422535211268,0.026000000000000002,0.12960760998810938
30039,Granite County,Montana,0.9372183838990688,0.24301592069690597,53917.0,0.47875257025359835,0.0572655690765927,0.06529209621993128,0.08711839166046165,0.031000000000000003,0.06278161610093125
30041,Hill County,Montana,0.9281853761570479,0.3078834565446978,58427.0,0.6318757662443809,0.0394515586599405,0.13210296260320545,0.15921518173045995,0.027999999999999997,0.07181462384295212
30043,Jefferson County,Montana,0.9430887583753825,0.18347257837703698,73875.0,0.5748591758078861,0.033522434244455904,0.02471590909090909,0.07156590472121342,0.027000000000000003,0.05691124162461747
30045,Judith Basin County,Montana,0.9480137322216773,0.27611574301128006,58750.0,0.6261510128913443,0.023529411764705882,0.11265164644714037,0.08129175946547884,0.025,0.051986267778322715
30047,Lake County,Montana,0.8457558919333206,0.2768410295714377,58009.0,0.5660279853712832,0.06482196783481986,0.13280573760356126,0.1400829875518672,0.033,0.15424410806667943
30049,Lewis And Clark County,Montana,0.9452558876811594,0.1893257472826087,71967.0,0.6496023339006008,0.034538066723695464,0.058115125400508234,0.09008949506291074,0.025,0.054744112318840576
30051,Liberty County,Montana,0.943031536113937,0.40132248219735506,48047.0,0.5455764075067024,0.002457002457002457,0.1920374707259953,0.05750350631136045,0.025,0.056968463886063025
30053,Lincoln County,Montana,0.8667802726543705,0.26313151563753007,44593.0,0.4739132992176931,0.06925654710189896,0.09840810419681621,0.13870749831119117,0.042,0.13321972734562948
30055,McCone County,Montana,0.9420625724217845,0.14020857473928158,79022.0,0.6335361730899256,0.02454642475987193,0.012345679012345678,0.01918158567774936,0.018000000000000002,0.05793742757821552
30057,Madison County,Montana,0.9114463380930447,0.1545370796867803,61226.0,0.5476159201366084,0.02254737347085632,0.04988558352402746,0.04411351503231245,0.024,0.08855366190695535
30059,Meagher County,Montana,0.9370119729307652,0.2040603852160333,55753.0,0.6110783736004715,0.015429122468659595,0.14492753623188406,0.06594724220623502,0.027000000000000003,0.06298802706923479
30061,Mineral County,Montana,0.924515988688275,0.28322819229932567,56098.0,0.5220472440944882,0.03619909502262444,0.08545727136431784,0.15832531280076997,0.037000000000000005,0.075484011311725
30063,Missoula County,Montana,0.935036359929319,0.18703275791762947,66840.0,0.6997386926561538,0.04540342580310283,0.05348151345130197,0.09967093525750308,0.026000000000000002,0.064963640070681
30065,Musselshell County,Montana,0.9417535254445125,0.22235847128550992,54875.0,0.5038816108685105,0.04910929224843524,0.09435364041604755,0.12447356106691623,0.027999999999999997,0.05824647455548748
30067,Park County,Montana,0.9041613390677671,0.15674764616994072,67602.0,0.6324636901559978,0.032745056347012545,0.05927051671732523,0.07039106145251396,0.023,0.09583866093223292
30069,Petroleum County,Montana,0.9543269230769231,0.19230769230769232,57981.0,0.6927536231884058,0.008368200836820083,0.030303030303030304,0.015873015873015872,0.033,0.04567307692307687
30071,Phillips County,Montana,0.9061976549413735,0.21009810959559702,61250.0,0.6044753553069248,0.03401700850425213,0.025597269624573378,0.07375643224699828,0.042,0.0938023450586265
30073,Pondera County,Montana,0.9260825439783491,0.3746617050067659,59861.0,0.5986005089058524,0.06447042153737159,0.12885538039753255,0.1114723641430562,0.03,0.0739174560216509
30075,Powder River County,Montana,0.9226774379688402,0.16849394114252741,60313.0,0.6134846461949266,0.009793253536452665,0.09302325581395349,0.029490616621983913,0.018000000000000002,0.07732256203115984
30077,Powell County,Montana,0.9340721262208865,0.2289631855747558,60994.0,0.4380450880368603,0.04770848985725019,0.012442698100851343,0.09965187119234116,0.026000000000000002,0.06592787377911347
30079,Prairie County,Montana,0.942063492063492,0.32063492063492066,44107.0,0.56513222331048,0.029462738301559793,0.18374558303886926,0.2,0.018000000000000002,0.05793650793650795
